eda_mean_microsiemens,eda_std,hrv_rmssd_ms,hrv_lf_hf_ratio,skin_temp_slope,acc_magnitude_g,physiological_state
1.573,0.183,54.1,1.08,0.0001,0.95,Baseline
1.441,0.097,64.8,0.47,0.0023,1.07,Baseline
4.137,0.279,25.8,2.76,-0.0251,1.0,Stress
6.336,0.933,22.5,1.84,-0.0216,1.03,Stress
2.048,0.157,60.1,1.68,0.0016,1.0,Baseline
5.725,1.093,41.4,1.89,0.0305,2.53,Physical_Exertion
1.549,0.09,58.2,1.08,0.001,0.97,Baseline
5.965,0.625,38.3,1.75,-0.0178,1.1,Stress
1.402,0.234,67.8,0.43,0.001,0.88,Baseline
3.341,1.126,24.5,2.1,-0.021,1.26,Stress
0.884,0.116,70.0,1.66,-0.0002,0.94,Baseline
2.848,0.328,61.8,0.86,-0.0001,0.99,Baseline
1.965,0.316,63.8,0.78,0.0028,1.02,Baseline
5.324,1.093,21.3,2.78,-0.0227,0.89,Stress
4.916,1.302,17.0,2.78,-0.0168,1.06,Stress
4.364,0.54,29.4,2.35,-0.0309,1.17,Stress
7.438,1.215,33.8,2.74,0.0322,3.04,Physical_Exertion
1.651,0.305,58.2,1.16,-0.0025,1.01,Baseline
1.384,0.149,46.8,0.78,0.0042,1.07,Baseline
8.881,0.833,32.6,1.55,0.023,1.95,Physical_Exertion
2.42,0.168,65.7,1.28,0.0046,0.93,Baseline
7.889,1.544,24.2,2.7,0.0334,2.36,Physical_Exertion
1.388,0.142,75.5,1.1,0.0016,0.96,Baseline
4.83,1.525,21.2,1.99,0.0303,2.57,Physical_Exertion
1.71,0.232,61.9,1.32,-0.002,0.99,Baseline
7.792,1.468,21.0,2.38,0.0102,2.53,Physical_Exertion
6.777,0.61,23.0,3.26,-0.0277,0.99,Stress
6.895,1.01,30.1,2.57,0.0342,2.66,Physical_Exertion
1.63,0.23,53.8,1.24,-0.001,0.99,Baseline
3.312,0.793,23.1,2.13,-0.0187,1.07,Stress
7.174,1.071,35.3,2.48,0.0344,2.0,Physical_Exertion
4.679,0.873,28.0,1.55,-0.0192,1.27,Stress
4.068,0.654,30.2,2.99,-0.014,0.92,Stress
5.378,0.918,27.1,3.0,-0.0149,1.14,Stress
3.128,0.964,27.6,2.84,-0.0196,1.03,Stress
5.93,0.783,21.3,2.56,-0.0191,1.17,Stress
5.224,0.63,42.9,2.96,-0.0136,1.03,Stress
6.8,1.452,41.7,2.73,0.0387,2.31,Physical_Exertion
1.514,0.227,64.3,1.03,0.0021,1.07,Baseline
1.342,0.133,53.6,1.19,-0.001,1.07,Baseline
6.636,1.212,20.5,1.54,0.0328,1.22,Physical_Exertion
7.519,1.153,57.9,3.35,0.0282,2.44,Physical_Exertion
5.695,1.141,18.2,1.73,-0.0231,1.11,Stress
5.096,1.014,20.8,1.41,-0.0157,0.97,Stress
0.791,0.212,62.9,1.06,-0.0009,0.99,Baseline
1.615,0.092,47.9,1.26,0.0006,1.01,Baseline
3.306,0.764,14.9,2.91,-0.0129,0.9,Stress
1.507,0.226,67.5,0.97,-0.0014,0.9,Baseline
4.624,1.208,29.7,2.79,-0.0184,1.05,Stress
1.393,0.266,57.3,1.11,-0.002,1.07,Baseline
6.997,1.034,40.0,1.95,0.0222,2.04,Physical_Exertion
3.343,1.341,17.4,1.59,0.0092,2.45,Physical_Exertion
4.32,0.735,21.7,2.1,-0.0177,0.99,Stress
4.88,0.623,29.1,3.58,-0.0171,1.01,Stress
1.929,0.181,55.1,1.0,-0.0003,1.01,Baseline
4.51,0.895,20.9,1.4,0.0178,2.6,Physical_Exertion
3.429,0.903,28.2,1.62,-0.0167,1.13,Stress
1.303,0.234,46.4,1.13,-0.0025,0.91,Baseline
5.426,1.163,28.8,1.61,0.026,2.66,Physical_Exertion
5.933,1.255,26.6,2.79,0.0182,2.79,Physical_Exertion
7.773,1.344,30.4,1.94,0.0404,1.65,Physical_Exertion
3.336,0.72,35.4,3.03,-0.0248,1.02,Stress
3.763,0.658,33.9,1.98,-0.012,1.13,Stress
2.345,0.163,53.5,0.67,-0.001,1.02,Baseline
7.944,0.868,29.1,2.12,0.016,2.85,Physical_Exertion
4.914,1.141,28.4,1.81,0.0299,2.37,Physical_Exertion
1.614,0.142,58.2,1.6,0.0003,1.05,Baseline
1.105,0.213,44.0,0.66,-0.0015,1.06,Baseline
2.275,0.219,39.7,1.04,0.0006,1.01,Baseline
3.234,0.933,31.5,2.47,0.008,2.4,Physical_Exertion
6.215,1.455,37.5,2.49,0.022,1.36,Physical_Exertion
1.603,0.28,68.9,1.31,0.0009,1.02,Baseline
3.833,0.774,38.0,2.23,-0.0119,1.02,Stress
2.463,0.087,60.9,0.88,-0.0028,1.01,Baseline
7.514,0.947,20.0,2.15,0.0291,2.83,Physical_Exertion
7.424,1.182,46.8,2.31,0.0265,1.53,Physical_Exertion
5.606,1.099,39.7,2.43,0.0182,2.6,Physical_Exertion
5.306,1.106,33.3,3.26,-0.0197,1.09,Stress
2.425,0.093,51.5,0.87,0.0008,1.06,Baseline
1.502,0.01,50.9,1.37,0.0011,1.02,Baseline
1.66,0.098,60.2,0.85,0.0044,1.03,Baseline
5.129,1.017,31.3,2.08,0.0412,2.61,Physical_Exertion
4.903,1.767,32.4,2.58,0.0239,2.72,Physical_Exertion
6.467,0.633,48.1,2.85,0.026,1.84,Physical_Exertion
6.521,1.226,34.8,2.3,0.0351,3.37,Physical_Exertion
5.182,0.59,36.2,3.78,-0.0042,0.94,Stress
4.791,0.384,31.3,2.47,-0.0104,0.97,Stress
3.466,1.059,16.2,2.58,0.0093,2.52,Physical_Exertion
2.883,1.104,45.1,2.38,0.0214,2.48,Physical_Exertion
1.809,0.238,41.3,1.28,-0.0054,0.97,Baseline
3.914,0.927,28.1,1.96,-0.0249,1.07,Stress
1.76,0.154,50.2,1.31,-0.001,1.0,Baseline
9.255,0.773,17.2,2.59,0.0232,2.31,Physical_Exertion
3.563,0.748,37.6,3.28,-0.0157,0.91,Stress
1.224,0.01,46.9,1.39,0.001,0.99,Baseline
4.473,0.662,29.2,3.26,-0.0281,1.08,Stress
5.619,0.717,32.2,4.49,-0.0205,1.09,Stress
1.431,0.215,59.6,1.16,-0.002,1.01,Baseline
2.531,0.236,64.6,1.03,0.0015,1.01,Baseline
3.359,0.864,22.0,2.42,-0.0191,1.08,Stress
3.073,1.011,31.4,2.38,-0.0277,1.04,Stress
3.965,0.823,25.8,1.6,-0.0219,1.02,Stress
5.26,0.66,38.1,1.65,-0.0134,1.03,Stress
7.289,1.224,41.1,2.01,0.019,3.35,Physical_Exertion
4.364,0.844,35.4,2.18,-0.017,0.99,Stress
4.341,0.814,19.0,2.33,-0.0132,1.14,Stress
5.906,1.273,29.6,2.88,0.028,2.64,Physical_Exertion
2.373,0.138,70.6,0.64,0.0033,0.98,Baseline
1.679,0.049,50.5,0.79,-0.0012,0.99,Baseline
2.279,0.217,58.1,0.77,-0.0018,1.09,Baseline
3.618,1.131,26.5,2.8,-0.0146,1.18,Stress
4.367,0.722,27.7,3.0,-0.0155,1.05,Stress
5.243,1.128,30.3,2.99,-0.0276,0.79,Stress
1.994,0.192,49.9,1.17,-0.0001,1.06,Baseline
1.843,0.14,64.9,1.03,0.0011,0.98,Baseline
1.475,0.207,55.1,1.24,-0.0005,0.91,Baseline
1.584,0.264,52.0,1.03,0.002,0.96,Baseline
2.649,0.768,25.1,2.22,-0.0209,1.1,Stress
1.795,0.225,73.1,1.0,0.0006,0.97,Baseline
1.377,0.153,50.2,1.21,0.0047,0.96,Baseline
5.375,1.181,35.2,2.33,0.0428,1.04,Physical_Exertion
0.607,0.16,66.0,0.63,-0.006,1.03,Baseline
4.792,0.582,22.1,2.22,-0.0194,0.99,Stress
5.093,0.229,22.9,2.12,-0.0213,1.0,Stress
2.199,0.051,55.5,1.27,0.0037,0.98,Baseline
4.889,0.439,13.6,3.31,-0.02,1.17,Stress
3.94,1.356,47.0,2.41,0.0328,2.51,Physical_Exertion
3.644,1.607,27.1,2.45,0.0144,1.79,Physical_Exertion
2.518,0.172,69.5,1.08,-0.0037,1.04,Baseline
5.115,1.41,32.2,1.43,0.0316,3.82,Physical_Exertion
5.092,0.788,34.5,2.93,-0.019,0.94,Stress
1.917,0.283,46.6,1.53,-0.0002,0.96,Baseline
5.697,0.743,32.6,2.62,-0.0203,1.1,Stress
6.436,0.601,23.0,2.66,0.0287,2.19,Physical_Exertion
2.87,0.584,15.9,2.74,-0.023,0.95,Stress
1.766,0.229,75.9,0.65,0.0023,1.05,Baseline
3.565,0.841,25.3,2.91,-0.0125,1.11,Stress
2.054,0.166,40.2,1.04,0.0024,0.92,Baseline
1.272,0.21,45.2,0.86,-0.0008,0.93,Baseline
1.313,0.256,41.9,0.62,-0.0013,1.04,Baseline
1.702,0.163,55.4,0.58,0.001,1.02,Baseline
1.595,0.28,43.7,1.44,0.0003,0.98,Baseline
1.79,0.191,67.2,0.78,-0.0015,1.05,Baseline
3.785,0.98,38.2,2.56,-0.0166,0.93,Stress
2.177,0.216,59.7,0.91,-0.0033,1.03,Baseline
0.768,0.175,64.4,1.16,0.0039,1.05,Baseline
5.019,1.208,31.6,1.41,0.0206,2.16,Physical_Exertion
2.057,0.809,26.5,1.8,-0.018,1.12,Stress
4.772,0.735,31.5,3.21,-0.0185,0.97,Stress
1.938,0.296,49.0,1.73,-0.0011,1.0,Baseline
1.464,0.218,37.6,0.94,-0.0022,1.01,Baseline
2.297,0.252,31.3,1.71,0.0006,0.96,Baseline
1.879,0.214,48.3,1.16,-0.0012,0.98,Baseline
1.457,0.085,56.5,1.28,0.001,1.04,Baseline
1.962,0.157,63.4,0.69,-0.0018,0.95,Baseline
2.34,0.275,59.9,1.42,-0.0018,1.02,Baseline
1.737,0.268,53.8,0.98,0.0011,1.04,Baseline
3.698,0.788,21.6,1.3,-0.019,1.11,Stress
1.931,0.044,51.5,0.43,0.0027,0.95,Baseline
2.428,0.276,46.0,0.76,0.0007,0.96,Baseline
4.623,0.703,17.3,1.46,-0.0189,0.99,Stress
3.836,0.939,35.0,2.64,-0.0217,1.1,Stress
1.122,0.218,60.5,1.3,-0.0039,0.96,Baseline
3.446,0.82,30.9,3.7,-0.0225,1.0,Stress
5.88,0.859,35.6,2.97,-0.0258,0.92,Stress
1.024,0.253,66.9,1.65,0.0017,1.06,Baseline
5.13,0.853,38.8,2.41,0.0311,2.73,Physical_Exertion
6.485,1.585,42.4,2.47,0.0385,2.81,Physical_Exertion
1.569,0.261,41.1,1.42,-0.0024,1.01,Baseline
1.377,0.244,54.7,0.62,0.0008,0.97,Baseline
7.322,1.2,35.2,1.72,0.0241,2.22,Physical_Exertion
5.528,1.135,23.2,3.45,-0.0308,0.93,Stress
1.321,0.092,39.2,1.22,-0.0004,1.02,Baseline
2.145,0.221,61.6,1.08,-0.0024,1.05,Baseline
1.505,0.125,53.2,0.83,-0.0008,1.02,Baseline
4.918,0.62,25.1,3.44,-0.0175,1.26,Stress
5.916,1.029,19.7,3.26,-0.0203,0.99,Stress
1.884,0.276,60.0,0.84,0.0015,0.97,Baseline
4.76,0.739,26.7,3.26,-0.0252,1.24,Stress
2.315,0.68,30.2,3.15,-0.0205,1.04,Stress
2.005,0.182,68.9,1.35,0.0017,0.95,Baseline
1.76,0.176,44.9,1.21,-0.0011,1.03,Baseline
3.216,1.144,22.6,2.93,-0.016,0.99,Stress
7.279,0.831,43.6,2.21,0.024,2.32,Physical_Exertion
5.471,0.683,23.5,2.67,-0.0259,1.23,Stress
3.82,0.966,29.3,2.21,-0.02,1.13,Stress
1.706,0.295,65.2,1.38,-0.0009,0.95,Baseline
1.493,0.216,60.5,0.45,-0.0,1.01,Baseline
4.167,1.058,30.5,3.59,-0.0211,1.14,Stress
2.618,0.305,44.1,1.02,-0.0007,1.02,Baseline
2.143,0.133,55.7,0.49,0.0029,0.97,Baseline
1.828,0.175,66.5,0.25,-0.0,0.99,Baseline
1.573,0.338,46.1,1.33,0.0007,1.06,Baseline
1.466,0.141,66.0,1.23,-0.0031,0.97,Baseline
1.993,0.267,48.2,0.23,0.001,0.94,Baseline
0.791,0.01,63.1,1.14,-0.0005,1.07,Baseline
2.119,0.329,41.1,1.09,-0.0032,0.99,Baseline
5.627,1.388,32.4,2.51,0.037,3.79,Physical_Exertion
4.122,0.612,29.5,2.32,-0.0126,1.02,Stress
3.821,0.706,32.3,2.71,-0.0232,1.22,Stress
3.473,0.807,31.9,1.82,-0.0176,0.94,Stress
5.487,0.607,32.2,3.46,-0.0157,1.08,Stress
1.684,0.154,69.7,0.89,-0.0021,1.03,Baseline
3.545,0.61,19.3,2.51,-0.0204,1.07,Stress
5.642,0.905,26.9,2.68,-0.0174,1.18,Stress
4.652,0.706,22.0,1.93,-0.0167,1.11,Stress
2.089,0.19,69.1,0.95,0.0019,1.0,Baseline
1.496,0.247,59.1,1.21,0.0002,1.0,Baseline
2.994,0.295,62.2,1.13,0.002,1.03,Baseline
1.813,0.176,54.2,0.2,0.0004,0.98,Baseline
6.411,0.804,20.9,2.77,-0.0252,1.1,Stress
4.849,0.992,23.3,2.82,-0.0268,1.12,Stress
2.059,0.24,55.0,1.22,0.0032,0.99,Baseline
6.208,0.874,25.1,2.25,0.041,2.35,Physical_Exertion
4.217,0.719,24.8,2.98,-0.0275,1.18,Stress
1.467,0.258,42.3,1.3,0.0013,1.02,Baseline
1.303,0.22,43.2,1.02,0.0021,1.04,Baseline
1.808,0.122,61.5,1.11,-0.0046,1.04,Baseline
1.788,0.296,44.0,0.2,0.0006,1.01,Baseline
0.955,0.122,82.6,1.01,0.0015,0.97,Baseline
0.755,0.186,52.3,0.98,-0.0002,1.01,Baseline
1.725,0.099,59.9,0.52,-0.0041,1.04,Baseline
2.054,0.195,41.0,0.89,-0.0005,0.92,Baseline
4.891,1.396,43.4,1.99,0.0376,1.35,Physical_Exertion
2.13,0.136,58.1,1.03,0.0026,0.96,Baseline
5.253,0.744,27.1,2.69,-0.0242,1.05,Stress
1.769,0.219,55.8,1.34,0.0018,0.95,Baseline
7.303,0.844,36.7,2.51,0.0109,2.56,Physical_Exertion
1.566,0.139,68.5,0.9,-0.0016,1.0,Baseline
2.143,0.189,66.7,1.26,-0.0044,0.97,Baseline
5.157,1.344,11.0,3.47,0.0353,2.59,Physical_Exertion
7.772,1.903,39.0,2.67,0.0313,2.42,Physical_Exertion
5.286,0.952,26.5,1.52,0.0292,1.49,Physical_Exertion
1.895,0.197,56.5,0.94,0.0062,1.07,Baseline
1.178,0.219,48.9,0.8,-0.0027,1.02,Baseline
3.682,0.994,34.0,3.62,-0.0243,1.1,Stress
6.949,1.058,25.8,3.0,0.0323,2.88,Physical_Exertion
3.514,0.556,24.6,2.73,-0.0253,1.05,Stress
2.474,0.576,32.0,3.16,-0.022,0.95,Stress
1.286,0.17,61.4,1.38,-0.001,0.94,Baseline
4.821,0.635,24.9,3.6,-0.0159,1.07,Stress
1.164,0.217,65.6,0.99,0.0027,1.06,Baseline
2.632,0.224,60.9,1.52,0.0009,0.97,Baseline
1.576,0.219,42.1,1.06,0.0022,0.89,Baseline
6.341,1.024,25.2,3.13,-0.02,1.17,Stress
2.291,0.088,60.9,1.04,0.0002,0.96,Baseline
2.674,0.283,47.6,0.7,-0.0008,1.02,Baseline
4.788,1.051,32.7,3.38,-0.0184,0.91,Stress
1.702,0.285,54.5,1.25,-0.0006,0.95,Baseline
4.352,0.862,24.1,2.66,-0.0247,1.16,Stress
1.653,0.316,70.3,1.08,-0.002,0.9,Baseline
2.734,0.525,36.3,2.87,-0.0181,0.83,Stress
3.062,0.977,29.7,2.71,-0.0172,1.21,Stress
1.689,0.206,56.9,1.82,-0.0042,1.03,Baseline
1.743,0.245,48.4,1.09,0.0014,1.16,Baseline
2.204,0.132,50.8,0.96,-0.0036,0.98,Baseline
2.166,0.098,65.5,1.25,-0.0015,0.99,Baseline
8.397,1.42,32.1,2.08,0.0308,2.19,Physical_Exertion
0.748,0.363,56.6,1.22,-0.0001,0.96,Baseline
5.721,0.72,50.2,1.58,0.0197,2.24,Physical_Exertion
2.444,0.201,42.6,1.48,0.0015,1.03,Baseline
5.359,1.279,41.1,2.39,-0.0119,1.09,Stress
5.099,0.462,27.0,2.31,-0.0159,1.16,Stress
2.011,0.796,34.7,2.69,-0.0164,1.09,Stress
4.91,0.746,20.7,2.13,-0.0165,1.05,Stress
1.731,0.166,51.9,1.41,-0.0007,0.93,Baseline
2.172,0.184,55.3,1.58,-0.0,1.01,Baseline
4.232,1.134,36.9,1.42,0.032,2.56,Physical_Exertion
6.062,1.511,34.7,2.94,0.0201,2.58,Physical_Exertion
6.127,0.879,39.7,3.36,0.0298,2.8,Physical_Exertion
1.842,0.143,36.8,0.89,-0.0028,1.09,Baseline
4.362,0.731,33.3,2.13,-0.0238,1.06,Stress
7.543,1.351,34.0,2.24,0.034,2.62,Physical_Exertion
1.285,0.204,44.3,1.12,-0.001,1.13,Baseline
1.78,0.088,53.7,1.26,0.0033,0.97,Baseline
2.601,0.963,19.7,2.54,-0.0213,1.04,Stress
5.327,0.663,26.4,2.79,-0.0193,1.06,Stress
6.654,1.453,35.1,2.43,0.0142,2.53,Physical_Exertion
2.04,0.258,48.1,0.9,-0.0011,1.03,Baseline
5.741,0.719,33.4,2.87,-0.0206,1.03,Stress
2.173,0.226,77.8,0.84,0.001,0.97,Baseline
1.365,0.199,56.4,1.98,-0.0004,0.94,Baseline
1.937,0.034,54.1,1.1,0.0016,1.05,Baseline
5.245,1.155,25.9,1.64,0.0331,1.74,Physical_Exertion
4.002,0.601,31.3,3.88,-0.0265,0.86,Stress
4.35,0.803,29.3,2.53,-0.021,1.09,Stress
2.32,0.044,51.3,1.16,-0.0018,1.09,Baseline
5.047,1.188,36.4,1.9,0.0115,2.24,Physical_Exertion
2.315,0.173,46.5,1.38,-0.0007,0.97,Baseline
6.224,1.431,51.1,2.61,0.0416,2.2,Physical_Exertion
1.287,0.205,56.1,0.78,-0.0004,1.02,Baseline
1.98,0.24,57.9,0.95,-0.001,0.94,Baseline
6.642,0.803,26.7,2.24,-0.0053,0.94,Stress
1.586,0.233,61.0,1.39,0.0036,1.03,Baseline
3.233,0.749,29.8,4.04,-0.027,1.17,Stress
4.716,0.968,27.4,2.29,-0.0162,1.12,Stress
2.286,0.199,49.0,0.63,0.0016,1.02,Baseline
4.551,1.038,28.3,1.46,0.0218,1.82,Physical_Exertion
1.594,0.141,38.7,1.71,0.0025,0.96,Baseline
4.827,0.883,35.1,2.31,-0.0145,1.0,Stress
3.996,1.417,42.3,3.49,0.018,2.92,Physical_Exertion
4.008,0.957,19.2,2.04,-0.0239,1.06,Stress
1.479,0.253,65.3,1.28,0.0032,1.02,Baseline
4.175,1.609,27.2,2.66,0.0457,2.77,Physical_Exertion
2.705,0.616,35.9,2.7,-0.0196,1.13,Stress
2.148,0.222,52.9,1.01,0.0017,1.03,Baseline
1.671,0.287,53.7,0.84,-0.0015,0.95,Baseline
4.173,1.047,23.2,2.91,-0.0233,1.02,Stress
2.688,0.756,26.8,3.12,-0.0189,0.93,Stress
5.801,0.842,29.2,2.79,-0.0226,1.07,Stress
6.713,0.676,27.7,2.07,0.0326,3.22,Physical_Exertion
3.574,0.7,24.9,2.32,-0.0217,1.13,Stress
1.273,0.234,38.0,0.93,-0.0007,1.08,Baseline
1.663,0.024,35.0,1.11,0.0012,1.02,Baseline
1.884,0.293,49.6,1.37,-0.0033,0.95,Baseline
2.332,0.745,27.7,2.87,-0.0197,0.96,Stress
1.705,0.08,68.6,1.01,-0.001,1.08,Baseline
3.009,0.575,21.4,2.76,-0.0178,1.12,Stress
7.586,0.35,31.7,2.47,-0.0229,0.99,Stress
4.637,1.705,38.7,2.21,0.0435,1.59,Physical_Exertion
1.135,0.026,48.0,1.15,0.0002,1.01,Baseline
3.883,1.441,33.9,2.57,0.0111,2.69,Physical_Exertion
1.206,0.168,60.3,1.13,-0.0017,1.0,Baseline
3.703,1.545,30.4,2.76,0.0247,2.19,Physical_Exertion
1.418,0.27,47.9,1.29,-0.0008,0.9,Baseline
1.515,0.106,55.3,0.74,0.0019,1.0,Baseline
4.287,0.931,33.8,2.79,-0.0239,0.87,Stress
1.457,0.151,56.1,1.0,0.0014,0.97,Baseline
1.771,0.295,58.4,1.08,-0.0012,0.97,Baseline
3.479,0.692,32.5,2.67,-0.0267,1.23,Stress
4.884,0.519,25.3,2.87,-0.0115,0.94,Stress
5.671,1.08,24.2,2.63,-0.0252,1.03,Stress
4.456,0.932,34.5,2.35,-0.0298,1.05,Stress
4.852,0.85,26.0,2.87,-0.0124,1.09,Stress
1.613,0.16,53.3,1.59,-0.0004,1.0,Baseline
1.559,0.288,74.6,1.24,0.0002,1.0,Baseline
0.608,0.26,56.3,1.23,-0.0014,0.98,Baseline
5.383,1.506,29.0,3.24,0.0343,1.73,Physical_Exertion
4.346,0.67,14.8,3.76,-0.0165,1.1,Stress
1.883,0.089,50.2,1.35,-0.0021,0.87,Baseline
4.227,0.772,28.8,3.24,-0.0168,1.08,Stress
7.793,0.744,36.0,2.51,0.0176,1.6,Physical_Exertion
1.427,0.147,62.5,0.92,-0.0017,0.97,Baseline
5.842,0.803,26.9,2.73,-0.0135,0.98,Stress
6.079,0.842,27.0,4.3,-0.0253,1.01,Stress
3.021,0.99,38.1,3.8,-0.0139,1.03,Stress
1.617,0.066,75.4,1.24,-0.001,1.07,Baseline
4.541,1.322,30.6,2.52,0.0294,1.63,Physical_Exertion
6.113,1.515,31.8,2.59,0.0195,2.48,Physical_Exertion
3.751,0.949,28.2,3.21,-0.0146,1.12,Stress
4.828,0.6,28.0,2.48,-0.0217,1.01,Stress
4.53,0.613,26.7,2.3,0.0165,2.51,Physical_Exertion
6.78,1.005,37.9,3.03,-0.0142,0.98,Stress
1.478,0.01,66.9,1.56,-0.0011,0.99,Baseline
3.595,0.877,34.7,1.75,-0.018,1.02,Stress
4.636,0.892,26.9,2.74,-0.0211,1.15,Stress
2.009,0.218,42.3,0.99,0.0018,1.0,Baseline
5.291,1.153,34.2,2.86,-0.0226,0.79,Stress
5.747,1.102,35.1,2.12,0.0268,1.43,Physical_Exertion
4.59,1.343,45.7,2.15,0.0333,3.07,Physical_Exertion
3.527,0.873,23.6,3.32,-0.0192,1.08,Stress
1.409,0.257,75.8,0.8,-0.0007,1.01,Baseline
7.18,1.032,9.3,2.88,0.0376,1.45,Physical_Exertion
5.089,1.67,43.6,2.67,0.0282,2.55,Physical_Exertion
1.735,0.29,46.2,0.86,0.002,1.0,Baseline
8.068,0.999,31.6,1.74,0.0301,1.61,Physical_Exertion
5.269,0.769,37.6,2.56,0.0127,3.3,Physical_Exertion
7.497,0.809,24.2,4.49,-0.0266,1.05,Stress
4.716,1.069,30.2,2.5,-0.0248,1.02,Stress
1.297,0.204,49.4,0.65,0.0025,0.98,Baseline
1.166,0.187,55.7,0.58,0.0007,0.95,Baseline
2.656,0.242,51.0,0.88,-0.0002,1.03,Baseline
5.962,1.135,32.5,1.9,0.0266,1.25,Physical_Exertion
2.287,0.224,47.3,1.67,0.0002,0.95,Baseline
2.228,0.232,58.9,0.97,0.0009,0.99,Baseline
2.078,0.048,50.7,1.62,-0.0015,0.97,Baseline
3.962,0.557,14.8,2.66,-0.0193,1.04,Stress
5.783,1.213,40.2,2.1,0.0243,2.33,Physical_Exertion
2.09,0.313,48.7,1.13,0.0007,0.95,Baseline
1.81,0.083,37.3,1.21,-0.0008,1.01,Baseline
4.479,0.605,27.7,2.06,-0.013,0.91,Stress
4.265,0.592,31.4,2.6,-0.0226,1.14,Stress
1.815,0.241,45.2,0.68,0.0002,0.98,Baseline
5.252,0.784,29.2,1.83,-0.0106,1.03,Stress
2.149,0.133,58.1,0.71,0.0009,0.98,Baseline
1.815,0.256,42.7,0.89,0.0009,1.1,Baseline
4.334,0.918,27.4,3.97,-0.0287,1.06,Stress
0.987,0.01,58.0,1.14,-0.0006,0.99,Baseline
10.647,1.123,36.1,1.88,0.033,2.36,Physical_Exertion
1.595,0.346,66.8,1.14,-0.0046,0.98,Baseline
7.744,0.754,34.6,3.67,-0.0189,0.97,Stress
1.578,0.937,23.1,2.91,-0.0262,1.02,Stress
1.817,0.221,43.9,1.46,-0.0012,0.92,Baseline
4.369,0.807,29.0,3.62,-0.0212,1.04,Stress
1.248,0.266,56.8,0.97,-0.0038,1.07,Baseline
4.158,1.023,34.9,1.6,0.0151,1.23,Physical_Exertion
2.16,0.156,84.3,0.8,-0.0018,0.97,Baseline
1.922,0.162,61.1,0.81,-0.0028,0.91,Baseline
0.688,0.159,52.0,0.91,0.0025,1.06,Baseline
5.498,0.662,27.5,1.9,0.0234,2.08,Physical_Exertion
3.716,0.723,24.2,2.92,-0.0182,0.96,Stress
6.025,0.604,18.3,3.03,-0.0241,1.08,Stress
0.598,0.311,61.7,0.65,-0.003,1.08,Baseline
3.615,0.633,14.4,2.59,-0.0211,1.12,Stress
1.1,0.078,59.5,1.4,-0.0031,1.05,Baseline
6.056,1.528,31.4,0.94,0.0285,3.14,Physical_Exertion
1.353,0.169,53.2,0.23,0.0033,0.95,Baseline
2.053,0.193,67.6,1.22,-0.0005,0.96,Baseline
2.199,0.05,61.5,0.77,0.0025,1.01,Baseline
5.273,0.816,17.5,2.28,-0.0166,1.07,Stress
5.917,0.881,22.2,2.32,-0.0195,0.82,Stress
2.637,0.235,67.3,0.63,0.0025,1.11,Baseline
2.915,0.954,28.0,1.87,-0.0175,1.13,Stress
3.779,1.033,18.0,1.9,-0.0193,1.05,Stress
3.64,0.962,31.2,3.31,-0.0206,1.11,Stress
1.577,0.364,46.9,1.73,0.0001,0.93,Baseline
2.484,0.21,63.5,1.47,0.0007,0.97,Baseline
5.671,0.8,32.1,1.51,-0.0178,0.99,Stress
2.627,0.25,57.4,1.25,-0.002,1.08,Baseline
2.796,0.231,70.9,0.93,-0.0016,1.0,Baseline
6.652,1.082,36.3,2.35,0.02,2.81,Physical_Exertion
7.295,1.251,41.2,1.59,0.0347,1.8,Physical_Exertion
1.243,0.15,45.6,0.94,-0.0004,1.04,Baseline
1.639,0.073,66.4,0.85,-0.0001,1.02,Baseline
4.74,1.019,30.9,2.28,-0.0091,1.07,Stress
1.726,0.277,57.5,1.22,0.005,0.99,Baseline
1.641,0.209,65.7,0.65,-0.0039,0.97,Baseline
0.983,0.166,60.0,0.83,-0.0029,1.0,Baseline
5.535,0.461,32.9,3.29,-0.0152,1.17,Stress
7.142,0.729,28.7,2.55,-0.02,1.2,Stress
1.127,0.131,68.8,1.41,-0.0007,1.04,Baseline
1.971,0.32,55.7,1.41,0.0053,1.03,Baseline
1.825,0.258,51.3,1.82,0.0004,0.99,Baseline
3.497,1.019,33.2,2.5,-0.0171,0.9,Stress
1.892,0.236,72.1,0.87,-0.0026,0.96,Baseline
1.132,0.307,70.5,1.2,0.0024,1.01,Baseline
4.386,0.733,26.1,1.87,-0.0187,1.05,Stress
2.173,0.207,53.4,0.84,0.0001,1.04,Baseline
3.128,0.817,29.4,2.37,-0.0229,1.07,Stress
1.233,0.228,46.0,1.42,0.0047,0.96,Baseline
2.067,0.142,65.4,0.72,0.001,0.96,Baseline
1.697,0.118,63.2,0.85,0.0011,0.98,Baseline
4.363,0.83,23.4,2.93,-0.0123,0.97,Stress
7.758,1.649,25.5,1.47,0.033,2.17,Physical_Exertion
8.803,1.21,25.6,1.63,0.0409,2.16,Physical_Exertion
1.822,0.276,50.2,1.09,-0.0,1.03,Baseline
5.209,0.756,28.4,2.58,-0.0274,1.08,Stress
2.746,0.129,47.3,0.84,0.0014,1.02,Baseline
1.721,0.127,55.9,0.63,0.0003,1.04,Baseline
4.123,0.74,44.6,1.89,0.0414,2.41,Physical_Exertion
1.719,0.235,46.2,1.14,-0.0008,0.93,Baseline
