personnel_id,source_dataset,rank,unit_type,deployment_theatre,annual_fitness_grade,wsi_deterministic,wsi_noise_applied,wsi_score,stress_score,satisfaction_score,sleep_quality_score,fatigue_score,social_support_score,emotional_wellbeing_score,work_life_balance_score,age,service_tenure_years,distance_from_home_station_km,num_dependents,rank_encoded,annual_fitness_grade_encoded,fitness_trend_score,deployment_duration_days,posting_transfer_count_last_2yrs,commute_transit_days,unit_manning_shortfall_pct,promotion_stagnation_years,duty_hours_daily,rest_hours_daily,overtime_hours_monthly,night_shift_frequency_monthly,consecutive_night_duty_days,overtime_flag,daily_workload_score,training_hours_last_year,leave_backlog_days,days_since_last_leave,leave_days_last_90d,absenteeism_hours_last_year,family_separation_months,conduct_flag,body_mass_index,stagnation_per_tenure_ratio,transit_separation_burden,manning_training_ratio,transfer_tenure_friction,manning_absenteeism_load,training_vs_unit_median,absenteeism_vs_rank_median,theatre_Border Outpost (LoC/IB),theatre_J&K (CI/Ops),theatre_LWE / Bastar (Anti-Naxal),theatre_North-East (Counter-Insurgency),theatre_Peace / Training Center,theatre_Static Security / VIP,unit_CoBRA Strike Unit,unit_General Duty (GD),unit_Medical & Logistics,unit_Rapid Action Force (RAF),unit_Signal & IT Wing,unit_VIP Security Wing,welfare_risk_level
CRPF-20261339,IBM_Attrition,Constable,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-4,60.45,0.35,60.81,2.6,1.0,6.0,3.9,3.8,3.2,2.0,49,16.2,86.7,1,0,3,2,687,2,1,18.5,4.1,10,5,0,11,18,0,6.0,36,60,180,0,2,9,0,31.7,0.238,2.3,0.451,0.116,0.37,10.0,-6.0,0,0,1,0,0,0,0,1,0,0,0,0,High
CRPF-20261340,UCI_Absenteeism,Constable,Rapid Action Force (RAF),North-East (Counter-Insurgency),SHAPE-1,59.49,-0.72,58.77,6.3,2.2,3.4,5.4,3.0,4.4,3.0,41,13.4,82.4,1,0,0,0,183,0,2,20.8,7.1,10,7,44,10,9,1,8.2,45,40,39,5,0,9,1,37.9,0.493,4.61,0.416,0.0,0.0,18.0,-8.0,0,0,0,1,0,0,0,0,0,1,0,0,High
CRPF-20261341,HRDataset_v14,ASI,CoBRA Strike Unit,Peace / Training Center,SHAPE-1,45.36,-0.77,44.59,5.0,3.3,6.5,4.6,2.5,3.5,2.0,52,17.6,42.5,2,2,0,0,491,0,5,24.4,2.1,12,6,49,6,4,1,14.2,38,24,106,0,70,6,0,21.9,0.113,9.73,0.567,0.0,17.08,11.0,62.0,0,0,0,0,1,0,1,0,0,0,0,0,Medium
CRPF-20261342,HR_Analytics_15k,Constable,General Duty (GD),J&K (CI/Ops),SHAPE-1,53.68,0.67,54.36,5.2,2.9,2.6,4.9,2.2,3.8,3.0,30,2.1,57.9,2,0,0,-2,125,1,2,13.2,2.1,8,8,0,12,13,0,6.0,14,50,110,1,39,14,0,30.9,0.677,5.42,0.695,0.323,5.15,-12.0,31.0,0,1,0,0,0,0,0,1,0,0,0,0,High
CRPF-20261343,HR_Analytics_15k,ASI,VIP Security Wing,J&K (CI/Ops),SHAPE-2,42.41,0.5,42.9,2.7,3.7,7.6,4.7,3.5,2.7,2.1,39,3.8,49.4,3,2,1,1,72,1,5,9.9,3.0,8,6,0,13,10,0,9.2,72,25,177,2,4,9,0,24.2,0.625,11.51,0.129,0.208,0.4,43.0,-4.0,0,1,0,0,0,0,0,0,0,0,0,1,Low
CRPF-20261344,HRDataset_v14,Constable,CoBRA Strike Unit,LWE / Bastar (Anti-Naxal),SHAPE-1,51.88,-0.01,51.87,1.7,2.4,5.7,6.6,3.0,3.2,2.0,36,8.9,26.5,0,0,0,0,294,3,4,9.3,7.2,10,7,62,10,10,1,13.3,33,16,135,3,155,16,0,21.6,0.727,11.33,0.245,0.303,14.42,6.0,147.0,0,0,1,0,0,0,1,0,0,0,0,0,Medium
CRPF-20261345,HR_Analytics_15k,Constable,General Duty (GD),Border Outpost (LoC/IB),SHAPE-1,46.87,-0.16,46.7,3.7,3.0,3.6,4.9,2.4,4.7,3.0,37,4.0,77.0,1,0,0,0,393,0,2,13.6,0.5,16,6,0,10,4,0,10.0,49,15,260,4,8,9,0,28.0,0.1,4.61,0.252,0.0,1.09,23.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
CRPF-20261346,HRDataset_v14,Constable,Rapid Action Force (RAF),LWE / Bastar (Anti-Naxal),SHAPE-1,60.49,-0.74,59.75,4.4,3.2,8.1,2.4,4.9,2.9,3.1,51,8.7,64.0,0,0,0,0,462,3,2,19.9,6.1,12,7,52,6,9,1,16.0,32,60,98,0,62,4,0,31.0,0.629,3.22,0.538,0.309,12.34,5.0,54.0,0,0,1,0,0,0,0,0,0,1,0,0,High
CRPF-20261347,HR_Analytics_15k,ASI,General Duty (GD),Peace / Training Center,SHAPE-4,50.17,-1.63,48.54,5.6,3.0,2.6,2.4,1.9,3.9,3.1,34,3.0,62.5,0,2,3,-1,69,2,2,16.6,3.0,12,7,34,9,11,1,11.5,60,16,107,2,3,9,0,27.8,0.75,4.61,0.255,0.5,0.5,34.0,-5.0,0,0,0,0,1,0,0,1,0,0,0,0,Medium
CRPF-20261348,UCI_Absenteeism,Constable,Signal & IT Wing,Border Outpost (LoC/IB),SHAPE-1,54.94,-2.19,52.75,3.2,2.8,5.5,5.3,2.7,3.6,3.1,31,11.6,100.0,3,0,0,0,675,1,3,21.3,3.0,12,8,37,10,11,1,6.8,16,25,137,3,23,13,0,24.3,0.238,7.92,1.014,0.079,4.9,-11.0,15.0,1,0,0,0,0,0,0,0,0,0,1,0,Medium
CRPF-20261349,HRDataset_v14,Constable,General Duty (GD),J&K (CI/Ops),SHAPE-2,40.98,-0.92,40.07,4.6,4.0,3.1,4.7,2.4,3.5,3.1,29,11.0,58.1,0,0,1,-1,189,0,3,14.6,5.5,8,8,0,15,10,0,7.0,68,11,56,6,32,22,0,24.5,0.458,9.41,0.2,0.0,4.67,42.0,24.0,0,1,0,0,0,0,0,1,0,0,0,0,Low
CRPF-20261350,IBM_Attrition,Constable,General Duty (GD),J&K (CI/Ops),SHAPE-1,57.79,1.25,59.04,5.6,4.0,8.6,2.1,3.4,4.3,3.0,43,7.6,4.4,0,0,0,0,565,2,4,14.5,6.5,12,7,0,11,9,0,6.5,61,47,201,1,2,23,0,32.5,0.756,12.71,0.22,0.233,0.29,35.0,-6.0,0,1,0,0,0,0,0,1,0,0,0,0,High
CRPF-20261351,HR_Analytics_15k,Sub-Inspector,General Duty (GD),Static Security / VIP,SHAPE-1,39.98,0.83,40.81,5.0,2.0,6.2,6.0,2.3,2.9,4.0,30,2.1,33.2,0,3,0,0,176,2,3,11.3,2.1,12,8,0,12,4,0,6.0,60,26,15,3,8,12,1,23.6,0.677,7.69,0.174,0.645,0.9,34.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,Low
CRPF-20261352,HR_Analytics_15k,Constable,Rapid Action Force (RAF),Border Outpost (LoC/IB),SHAPE-3,41.49,1.29,42.78,6.6,2.0,8.4,4.5,3.5,2.8,4.0,39,4.0,77.5,4,0,2,2,546,1,3,13.8,4.0,14,8,0,11,5,0,6.4,0,15,49,0,2,9,0,33.1,0.8,6.91,2.76,0.2,0.28,-27.0,-6.0,1,0,0,0,0,0,0,0,0,1,0,0,Low
CRPF-20261353,IBM_Attrition,Assistant Commandant,CoBRA Strike Unit,Static Security / VIP,SHAPE-2,40.86,-0.52,40.35,4.5,4.0,5.1,4.2,2.6,2.8,3.0,31,10.5,22.7,0,5,1,-2,76,0,4,13.4,0.5,14,5,0,10,9,0,7.3,0,23,68,4,96,9,0,23.4,0.043,9.21,2.68,0.0,12.86,-27.0,88.0,0,0,0,0,0,1,1,0,0,0,0,0,Low
CRPF-20261354,HRDataset_v14,Constable,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-1,45.68,-2.5,43.18,2.3,4.0,5.0,3.5,2.6,2.8,3.0,49,4.3,61.4,0,0,0,0,383,0,1,18.3,4.3,8,7,0,9,8,0,7.2,37,60,107,3,8,8,0,23.5,0.811,2.2,0.436,0.0,1.46,11.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
CRPF-20261355,HR_Analytics_15k,Constable,Signal & IT Wing,North-East (Counter-Insurgency),SHAPE-2,45.22,2.14,47.36,7.9,2.7,3.7,1.8,2.6,4.5,2.0,34,3.0,82.1,0,0,1,1,658,2,5,25.0,3.0,10,9,0,8,6,0,9.6,53,26,89,7,8,14,0,30.8,0.75,13.54,0.431,0.5,2.0,26.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,Medium
CRPF-20261356,IBM_Attrition,Constable,CoBRA Strike Unit,LWE / Bastar (Anti-Naxal),SHAPE-1,57.97,-0.05,57.91,5.4,3.1,3.3,6.1,2.6,3.6,3.1,52,3.0,13.6,1,0,0,2,402,0,1,13.3,0.5,12,8,47,17,14,1,6.0,3,60,149,0,3,10,0,30.7,0.125,2.4,1.662,0.0,0.4,-24.0,-5.0,0,0,1,0,0,0,1,0,0,0,0,0,High
CRPF-20261357,IBM_Attrition,Constable,Signal & IT Wing,Border Outpost (LoC/IB),SHAPE-2,46.56,0.64,47.19,5.4,2.0,4.2,3.6,3.0,4.1,1.0,44,19.5,42.5,0,0,1,0,232,0,3,20.7,1.3,10,7,0,11,13,0,6.0,22,21,184,6,0,13,0,25.2,0.063,7.92,0.767,0.0,0.0,-5.0,-8.0,1,0,0,0,0,0,0,0,0,0,1,0,Medium
CRPF-20261358,HR_Analytics_15k,Constable,Medical & Logistics,Border Outpost (LoC/IB),SHAPE-2,68.82,-0.8,68.02,5.4,1.3,2.9,3.9,3.6,4.3,2.9,47,6.1,44.2,1,0,1,0,226,0,3,14.8,6.1,16,6,47,10,10,1,11.9,14,60,234,1,110,12,0,24.1,0.859,7.69,0.779,0.0,16.28,-15.0,102.0,1,0,0,0,0,0,0,0,1,0,0,0,High
CRPF-20261359,UCI_Absenteeism,Assistant Commandant,General Duty (GD),North-East (Counter-Insurgency),SHAPE-2,53.48,-0.5,52.98,5.7,3.0,3.6,4.6,3.7,3.9,3.0,37,14.0,84.3,1,5,1,0,524,0,1,14.1,3.6,10,7,0,15,17,0,7.7,53,37,106,3,8,11,0,28.5,0.24,2.48,0.243,0.0,1.13,27.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
CRPF-20261360,UCI_Absenteeism,Head Constable,General Duty (GD),J&K (CI/Ops),SHAPE-1,61.48,0.27,61.75,8.0,3.8,3.2,5.3,4.2,3.2,3.0,38,13.5,80.2,2,1,0,-1,645,4,4,25.9,1.6,12,6,0,13,14,0,7.7,63,44,186,4,0,10,0,35.7,0.11,9.59,0.381,0.276,0.0,37.0,-8.0,0,1,0,0,0,0,0,1,0,0,0,0,High
CRPF-20261361,HR_Analytics_15k,Constable,VIP Security Wing,LWE / Bastar (Anti-Naxal),SHAPE-1,39.32,-0.33,38.99,6.7,3.4,3.6,6.0,3.0,3.0,3.0,34,2.9,82.2,2,0,0,-2,647,2,2,21.8,2.8,8,8,0,14,10,0,6.9,7,27,31,5,100,4,0,23.0,0.718,3.22,1.817,0.513,21.8,-22.0,92.0,0,0,1,0,0,0,0,0,0,0,0,1,Low
CRPF-20261362,IBM_Attrition,Constable,CoBRA Strike Unit,Static Security / VIP,SHAPE-2,41.1,-0.14,40.96,6.0,4.0,6.5,6.1,2.7,2.1,3.1,52,4.9,87.0,0,0,1,0,393,1,2,12.2,4.9,12,6,0,14,9,0,6.0,5,15,92,3,3,11,0,22.9,0.831,4.97,1.22,0.169,0.37,-22.0,-5.0,0,0,0,0,0,1,1,0,0,0,0,0,Low
CRPF-20261363,HRDataset_v14,Head Constable,General Duty (GD),Static Security / VIP,SHAPE-1,44.91,0.02,44.93,4.2,3.3,6.0,4.9,1.8,3.3,2.0,42,5.0,11.9,4,1,0,0,228,1,1,26.0,0.7,8,6,0,8,9,0,7.1,39,53,57,2,46,20,0,26.2,0.117,3.04,0.591,0.167,11.96,13.0,38.0,0,0,0,0,0,1,0,1,0,0,0,0,Medium
CRPF-20261364,IBM_Attrition,Constable,Medical & Logistics,Static Security / VIP,SHAPE-3,48.57,-1.56,47.0,7.6,3.1,4.9,5.0,1.2,3.2,3.0,49,18.9,36.7,0,0,2,0,326,2,3,21.2,11.8,12,8,25,9,7,1,6.0,30,39,103,7,65,7,0,24.5,0.593,6.24,0.606,0.101,13.78,1.0,57.0,0,0,0,0,0,1,0,0,1,0,0,0,Medium
CRPF-20261365,IBM_Attrition,Sub-Inspector,General Duty (GD),Border Outpost (LoC/IB),SHAPE-1,52.48,0.8,53.27,2.2,3.0,8.7,5.7,3.5,3.8,2.9,34,10.1,100.0,0,3,0,0,69,0,5,22.9,5.5,10,9,0,9,8,0,6.0,58,39,320,0,57,7,0,31.3,0.495,10.4,0.363,0.0,13.05,32.0,49.0,1,0,0,0,0,0,0,1,0,0,0,0,High
CRPF-20261366,IBM_Attrition,ASI,General Duty (GD),J&K (CI/Ops),SHAPE-1,43.81,2.34,46.15,6.5,1.0,8.2,5.6,3.7,3.4,3.0,40,5.0,39.7,0,2,0,0,484,1,1,12.6,1.0,12,8,0,11,7,0,6.0,24,35,140,5,0,8,0,27.0,0.167,2.2,0.434,0.167,0.0,-2.0,-8.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
CRPF-20261367,HR_Analytics_15k,Constable,Medical & Logistics,J&K (CI/Ops),SHAPE-1,49.04,-0.74,48.3,5.7,1.3,5.9,4.6,4.3,4.1,3.9,39,4.0,57.7,2,0,0,0,71,0,5,22.9,4.0,10,6,28,7,12,1,13.4,0,7,143,4,2,12,0,28.2,0.8,12.82,4.58,0.0,0.46,-29.0,-6.0,0,1,0,0,0,0,0,0,1,0,0,0,Medium
CRPF-20261368,HRDataset_v14,ASI,General Duty (GD),Border Outpost (LoC/IB),SHAPE-1,36.58,0.84,37.42,5.1,2.5,5.8,4.4,2.9,3.1,2.0,38,4.7,29.9,0,2,0,0,328,0,4,7.9,4.7,8,7,0,6,7,0,7.0,6,24,53,9,103,9,1,25.0,0.825,9.21,0.718,0.0,8.14,-20.0,95.0,1,0,0,0,0,0,0,1,0,0,0,0,Low
CRPF-20261369,IBM_Attrition,Head Constable,VIP Security Wing,LWE / Bastar (Anti-Naxal),SHAPE-4,57.33,-0.75,56.58,4.3,3.9,7.2,5.8,3.1,4.5,2.9,20,1.0,100.0,2,1,3,-2,205,3,4,9.8,1.0,10,7,25,9,16,1,6.0,19,20,94,2,3,16,0,28.5,0.5,11.33,0.408,1.5,0.29,-10.0,-5.0,0,0,1,0,0,0,0,0,0,0,0,1,High
CRPF-20261370,HRDataset_v14,ASI,Medical & Logistics,North-East (Counter-Insurgency),SHAPE-1,48.59,-0.86,47.73,4.1,2.3,7.4,2.9,3.1,3.5,1.0,29,8.0,73.9,0,2,0,-1,560,1,3,11.5,5.0,10,7,0,10,10,0,7.1,58,40,100,3,16,9,0,29.2,0.556,6.91,0.183,0.111,1.84,29.0,8.0,0,0,0,1,0,0,0,0,1,0,0,0,Medium
CRPF-20261371,HR_Analytics_15k,Constable,Rapid Action Force (RAF),North-East (Counter-Insurgency),SHAPE-1,58.28,-0.93,57.35,5.6,3.2,3.8,3.9,3.4,2.5,2.9,35,2.9,62.2,1,0,0,-1,163,0,2,29.7,2.9,16,5,0,13,14,0,7.5,30,31,100,1,2,11,0,23.5,0.744,4.97,0.849,0.0,0.59,3.0,-6.0,0,0,0,1,0,0,0,0,0,1,0,0,High
CRPF-20261372,IBM_Attrition,Constable,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-1,53.9,-1.93,51.97,5.7,3.1,7.6,5.2,4.8,4.3,4.0,50,18.0,18.5,1,0,0,0,150,4,5,10.2,1.5,12,7,25,6,7,1,9.1,2,39,132,2,1,18,0,25.8,0.079,14.72,1.457,0.211,0.1,-24.0,-7.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
CRPF-20261373,IBM_Attrition,Constable,VIP Security Wing,Peace / Training Center,SHAPE-1,48.76,-0.18,48.59,4.1,1.0,5.9,6.9,2.8,3.2,2.9,40,9.9,4.5,2,0,0,-2,533,2,3,20.5,5.6,10,5,0,10,8,0,6.0,28,50,159,2,2,13,0,30.6,0.514,7.92,0.621,0.183,0.41,-1.0,-6.0,0,0,0,0,1,0,0,0,0,0,0,1,Medium
CRPF-20261374,HRDataset_v14,Head Constable,General Duty (GD),J&K (CI/Ops),SHAPE-2,54.04,-1.29,52.75,2.0,2.4,7.9,3.7,2.3,2.7,1.0,29,5.4,66.2,1,1,1,1,457,1,1,30.9,4.6,14,8,0,14,9,0,6.9,59,19,124,3,80,6,1,19.3,0.719,1.95,0.483,0.156,24.72,33.0,72.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
CRPF-20261375,IBM_Attrition,Inspector,General Duty (GD),J&K (CI/Ops),SHAPE-2,49.28,-0.17,49.12,4.4,1.0,4.2,6.4,4.7,2.8,3.0,33,10.3,4.4,0,4,1,0,390,1,4,23.3,10.3,12,7,0,10,8,0,7.5,63,45,65,2,2,6,0,37.6,0.912,7.78,0.343,0.088,0.47,37.0,-6.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
CRPF-20261376,HR_Analytics_15k,Sub-Inspector,General Duty (GD),North-East (Counter-Insurgency),SHAPE-1,49.54,-2.08,47.46,5.8,3.4,3.7,5.4,3.5,2.0,3.1,34,2.9,36.1,0,3,0,1,651,1,3,18.4,1.8,10,8,21,9,8,1,10.5,31,39,121,6,4,5,1,24.4,0.462,5.38,0.511,0.256,0.74,5.0,-4.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
CRPF-20261377,IBM_Attrition,ASI,Signal & IT Wing,North-East (Counter-Insurgency),SHAPE-1,53.65,0.1,53.75,8.1,2.0,5.9,5.2,5.0,4.0,3.0,56,35.4,100.0,1,2,0,1,229,2,5,14.2,9.7,10,8,37,11,11,1,6.0,38,32,60,6,0,20,0,22.1,0.266,15.22,0.33,0.055,0.0,11.0,-8.0,0,0,0,1,0,0,0,0,0,0,1,0,High
CRPF-20261378,UCI_Absenteeism,Head Constable,General Duty (GD),J&K (CI/Ops),SHAPE-1,44.78,1.24,46.02,5.3,3.0,4.3,5.6,4.3,3.3,2.0,28,9.2,82.1,1,1,0,-1,568,4,2,17.0,2.3,10,6,0,13,11,0,8.6,0,16,109,1,2,10,0,23.6,0.225,4.8,3.4,0.392,0.34,-26.0,-6.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
CRPF-20261379,IBM_Attrition,Constable,General Duty (GD),J&K (CI/Ops),SHAPE-1,50.71,0.3,51.01,2.9,4.0,4.8,3.6,1.8,2.9,2.0,37,15.9,34.2,0,0,0,0,348,0,1,14.7,2.4,10,8,49,13,10,1,8.2,9,21,92,4,3,19,0,24.9,0.142,3.0,1.05,0.0,0.44,-17.0,-5.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
CRPF-20261380,HR_Analytics_15k,Constable,CoBRA Strike Unit,J&K (CI/Ops),SHAPE-1,54.96,0.58,55.54,4.7,2.8,2.4,4.9,3.7,3.2,2.9,30,2.0,57.1,2,0,0,2,109,0,5,27.6,2.0,10,9,42,8,6,1,10.0,11,21,199,2,123,19,0,31.1,0.667,14.98,1.725,0.0,33.95,-16.0,115.0,0,1,0,0,0,0,1,0,0,0,0,0,High
CRPF-20261381,UCI_Absenteeism,Constable,General Duty (GD),North-East (Counter-Insurgency),SHAPE-1,40.35,-1.89,38.46,5.0,3.2,4.3,1.7,3.1,4.2,2.0,50,18.1,40.3,1,0,0,1,221,1,3,14.5,2.4,8,7,0,8,12,0,6.8,61,21,145,0,2,8,0,31.3,0.126,6.59,0.22,0.052,0.29,35.0,-6.0,0,0,0,1,0,0,0,1,0,0,0,0,Low
CRPF-20261382,UCI_Absenteeism,ASI,General Duty (GD),North-East (Counter-Insurgency),SHAPE-1,52.69,-0.69,52.0,4.6,3.9,3.7,5.1,3.8,3.7,4.0,35,13.4,100.0,2,2,0,-2,621,1,3,13.9,7.3,10,6,0,12,17,0,8.5,36,31,90,7,8,12,0,30.1,0.507,7.69,0.339,0.069,1.11,10.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
CRPF-20261383,UCI_Absenteeism,Constable,General Duty (GD),North-East (Counter-Insurgency),SHAPE-2,46.09,-2.5,43.59,7.3,2.2,7.6,5.3,3.4,3.0,2.0,41,14.4,82.5,2,0,1,2,518,1,5,16.1,7.7,8,7,0,6,9,0,7.5,33,26,212,2,2,9,0,28.4,0.5,11.51,0.424,0.065,0.32,7.0,-6.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
CRPF-20261384,IBM_Attrition,Constable,CoBRA Strike Unit,North-East (Counter-Insurgency),SHAPE-1,49.59,-0.54,49.05,5.7,4.0,7.6,2.6,3.5,2.4,3.2,54,11.9,91.5,2,0,0,-2,88,0,3,22.9,9.2,8,8,39,10,11,1,6.0,61,21,139,5,25,7,0,22.0,0.713,6.24,0.347,0.0,5.72,34.0,17.0,0,0,0,1,0,0,1,0,0,0,0,0,Medium
CRPF-20261385,UCI_Absenteeism,Constable,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-4,58.55,0.69,59.24,6.0,1.3,2.2,4.9,2.3,3.6,1.9,27,9.0,82.7,1,0,3,-2,374,0,3,10.7,1.5,10,10,0,8,10,0,10.0,57,50,282,4,2,10,0,24.1,0.15,7.19,0.173,0.0,0.21,31.0,-6.0,0,0,1,0,0,0,0,1,0,0,0,0,High
CRPF-20261386,HR_Analytics_15k,Head Constable,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-1,50.24,2.21,52.45,4.8,3.4,4.4,3.4,1.8,3.5,2.9,34,2.8,40.2,0,1,0,0,392,1,2,8.1,2.8,12,7,43,12,7,1,10.2,0,40,59,4,3,10,0,24.4,0.737,4.8,1.62,0.263,0.24,-26.0,-5.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
CRPF-20261387,HR_Analytics_15k,Constable,Signal & IT Wing,Peace / Training Center,SHAPE-3,49.7,-0.19,49.51,4.9,3.8,8.1,6.2,3.0,4.1,3.1,38,3.9,22.5,0,0,2,0,84,0,1,20.3,0.9,12,7,0,11,10,0,7.4,61,49,88,7,1,16,0,28.8,0.184,2.83,0.308,0.0,0.2,34.0,-7.0,0,0,0,0,1,0,0,0,0,0,1,0,Medium
CRPF-20261388,HR_Analytics_15k,Head Constable,General Duty (GD),Peace / Training Center,SHAPE-1,46.89,-0.1,46.8,6.1,3.9,4.9,3.9,2.4,4.7,3.0,59,9.8,66.1,2,1,0,1,270,3,3,34.6,2.8,14,6,0,10,6,0,6.2,4,27,163,3,41,9,0,28.2,0.259,6.91,3.844,0.278,14.19,-22.0,33.0,0,0,0,0,1,0,0,1,0,0,0,0,Medium
CRPF-20261389,IBM_Attrition,Head Constable,Medical & Logistics,Border Outpost (LoC/IB),SHAPE-1,42.59,0.61,43.2,4.2,2.9,6.2,3.2,3.9,3.6,2.9,24,5.1,4.5,1,1,0,-1,664,0,3,14.5,2.5,10,5,0,12,9,0,6.0,12,21,337,5,144,12,0,29.7,0.41,7.69,0.853,0.0,20.88,-17.0,136.0,1,0,0,0,0,0,0,0,1,0,0,0,Medium
CRPF-20261390,IBM_Attrition,Assistant Commandant,Rapid Action Force (RAF),Peace / Training Center,SHAPE-1,33.19,-0.67,32.51,3.5,3.1,6.4,2.6,4.4,3.6,3.0,39,10.8,13.2,1,5,0,0,587,2,5,18.6,8.1,8,10,0,11,7,0,6.0,4,16,119,1,147,8,0,38.2,0.686,10.99,2.067,0.169,27.34,-23.0,139.0,0,0,0,0,1,0,0,0,0,1,0,0,Low
CRPF-20261391,IBM_Attrition,Inspector,General Duty (GD),North-East (Counter-Insurgency),SHAPE-3,40.45,-0.13,40.32,3.7,2.1,6.4,5.2,3.3,3.2,3.0,34,6.9,17.7,0,4,2,1,644,1,1,21.7,5.0,8,6,0,8,6,0,6.0,54,55,87,5,8,6,0,29.7,0.633,1.95,0.368,0.127,1.74,28.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,Low
CRPF-20261392,HRDataset_v14,Constable,CoBRA Strike Unit,Peace / Training Center,SHAPE-2,48.79,-0.19,48.6,6.1,3.3,6.1,4.2,4.8,3.4,3.1,48,1.2,36.8,2,0,1,0,45,2,5,13.6,1.2,14,8,0,12,11,0,7.0,58,25,299,4,32,11,0,30.3,0.545,12.42,0.216,0.909,4.35,31.0,24.0,0,0,0,0,1,0,1,0,0,0,0,0,Medium
CRPF-20261393,HRDataset_v14,ASI,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-1,56.74,1.09,57.83,7.9,2.5,5.4,7.8,2.8,2.7,3.2,34,10.2,11.3,0,2,0,0,552,2,4,10.9,10.2,14,8,0,11,14,0,7.1,0,39,103,0,8,14,0,19.5,0.911,10.83,2.18,0.179,0.87,-26.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,High
CRPF-20261394,UCI_Absenteeism,Constable,CoBRA Strike Unit,J&K (CI/Ops),SHAPE-1,49.73,-0.9,48.84,7.9,4.0,8.2,3.5,4.7,3.1,1.9,56,15.2,77.5,2,0,0,1,683,1,4,24.3,3.9,12,8,0,8,11,0,7.1,0,24,95,2,8,13,0,22.2,0.241,10.56,4.86,0.062,1.94,-27.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,Medium
CRPF-20261395,IBM_Attrition,Constable,General Duty (GD),Static Security / VIP,SHAPE-1,30.83,-0.48,30.36,3.6,1.0,7.2,4.9,3.0,2.0,1.9,51,22.8,4.5,1,0,0,0,437,0,4,16.5,6.8,8,5,0,8,4,0,10.1,0,18,361,5,4,2,0,30.6,0.286,4.39,3.3,0.0,0.66,-26.0,-4.0,0,0,0,0,0,1,0,1,0,0,0,0,Low
CRPF-20261396,HRDataset_v14,Constable,General Duty (GD),Border Outpost (LoC/IB),SHAPE-1,46.91,-1.24,45.67,4.4,3.9,6.1,7.0,2.9,3.0,2.9,50,12.3,22.1,2,0,0,0,333,2,3,16.2,8.7,12,5,0,9,12,0,7.0,26,26,149,8,95,12,0,27.8,0.654,7.69,0.523,0.15,15.39,0.0,87.0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
CRPF-20261397,IBM_Attrition,Head Constable,General Duty (GD),Border Outpost (LoC/IB),SHAPE-1,39.02,-2.18,36.84,5.6,2.0,4.4,1.8,4.2,3.3,2.9,49,28.0,46.1,0,1,0,0,430,0,1,9.8,2.8,8,7,0,12,10,0,8.2,0,34,48,3,123,8,0,31.9,0.097,2.2,1.96,0.0,12.05,-26.0,115.0,1,0,0,0,0,0,0,1,0,0,0,0,Low
CRPF-20261398,IBM_Attrition,Constable,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-1,51.74,-1.48,50.27,7.7,3.0,5.9,3.7,4.1,3.2,3.9,29,6.1,4.4,1,0,0,0,209,1,1,10.7,2.3,12,6,0,13,12,0,6.0,60,47,328,4,4,7,0,36.1,0.324,2.08,0.165,0.141,0.43,34.0,-4.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
CRPF-20261399,HR_Analytics_15k,Constable,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-2,54.2,0.73,54.93,7.8,2.3,3.7,6.8,4.2,3.4,3.0,42,5.1,79.9,0,0,1,-1,510,1,1,15.1,5.1,14,8,0,9,11,0,6.2,55,44,74,5,2,6,0,19.5,0.836,1.95,0.252,0.164,0.3,29.0,-6.0,0,0,1,0,0,0,0,1,0,0,0,0,High
