age,service_tenure_years,distance_from_home_station_km,num_dependents,rank_encoded,annual_fitness_grade_encoded,fitness_trend_score,deployment_duration_days,posting_transfer_count_last_2yrs,commute_transit_days,unit_manning_shortfall_pct,promotion_stagnation_years,duty_hours_daily,rest_hours_daily,overtime_hours_monthly,night_shift_frequency_monthly,consecutive_night_duty_days,overtime_flag,daily_workload_score,training_hours_last_year,leave_backlog_days,days_since_last_leave,leave_days_last_90d,absenteeism_hours_last_year,family_separation_months,conduct_flag,body_mass_index,stagnation_per_tenure_ratio,transit_separation_burden,manning_training_ratio,transfer_tenure_friction,manning_absenteeism_load,training_vs_unit_median,absenteeism_vs_rank_median,theatre_Border Outpost (LoC/IB),theatre_J&K (CI/Ops),theatre_LWE / Bastar (Anti-Naxal),theatre_North-East (Counter-Insurgency),theatre_Peace / Training Center,theatre_Static Security / VIP,unit_CoBRA Strike Unit,unit_General Duty (GD),unit_Medical & Logistics,unit_Rapid Action Force (RAF),unit_Signal & IT Wing,unit_VIP Security Wing,welfare_risk_level
46,12.0,79.8,1,0,0,0,148,1,3,17.2,8.7,8,6,0,5,9,0,6.0,2,19,71,5,8,12,0,32.9,0.669,7.69,2.457,0.077,1.38,-25.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,Low
41,5.1,28.9,2,5,0,-2,603,1,1,9.3,5.1,10,6,61,17,11,1,11.2,21,51,107,2,2,14,0,30.0,0.836,2.71,0.358,0.164,0.19,-6.0,-6.0,0,0,1,0,0,0,0,0,0,1,0,0,High
35,11.2,86.4,4,2,0,0,660,2,4,14.2,6.3,10,7,0,12,10,0,8.0,24,25,101,1,0,7,1,22.0,0.516,8.32,0.49,0.164,0.0,-2.0,-8.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
30,1.9,69.3,0,0,0,0,68,1,4,26.6,1.9,14,8,0,8,11,0,8.2,0,22,82,4,7,10,0,23.8,0.655,9.59,5.32,0.345,1.86,-26.0,-1.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
25,6.9,4.5,0,0,0,-2,500,2,4,29.4,6.9,12,6,0,9,10,0,6.4,26,40,133,2,2,15,0,32.5,0.873,11.09,0.948,0.253,0.59,-1.0,-6.0,1,0,0,0,0,0,1,0,0,0,0,0,High
42,4.8,81.4,1,1,1,0,111,2,5,8.3,2.3,8,8,26,14,10,1,11.4,44,22,291,5,53,9,0,36.7,0.397,11.51,0.169,0.345,4.4,17.0,45.0,0,0,1,0,0,0,1,0,0,0,0,0,Medium
34,3.0,24.8,1,0,0,0,170,0,2,22.3,1.7,10,8,62,11,9,1,12.0,22,44,153,3,3,3,0,24.8,0.425,2.77,0.826,0.0,0.67,-4.0,-5.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
28,6.9,4.6,0,0,0,0,219,0,2,8.1,4.1,10,8,61,13,14,1,6.0,34,23,149,3,84,5,0,31.0,0.519,3.58,0.208,0.0,6.8,5.0,76.0,0,0,1,0,0,0,0,0,1,0,0,0,Medium
38,10.0,39.2,0,0,0,0,436,0,4,19.0,1.9,14,6,0,11,8,0,7.3,0,39,35,3,2,12,0,28.1,0.173,10.26,3.8,0.0,0.38,-27.0,-6.0,0,0,0,0,0,1,0,0,0,1,0,0,Medium
32,8.5,39.2,1,5,1,0,541,0,1,24.0,6.1,12,8,0,14,17,0,6.0,49,60,167,2,8,15,0,24.4,0.642,2.77,0.444,0.0,1.92,23.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,High
47,27.8,40.2,2,0,0,0,114,4,1,7.7,3.8,12,8,0,9,19,0,6.0,0,28,105,3,1,8,0,25.0,0.132,2.2,1.54,0.139,0.08,-29.0,-7.0,0,1,0,0,0,0,0,0,1,0,0,0,Medium
39,4.1,89.7,0,3,0,1,191,2,3,13.6,4.1,10,8,0,12,11,0,6.0,0,17,60,2,48,6,0,23.7,0.804,5.84,2.72,0.392,6.53,-27.0,40.0,1,0,0,0,0,0,0,0,0,1,0,0,Low
46,19.7,35.9,2,3,1,-2,587,0,1,12.1,13.7,10,6,19,11,11,1,6.9,15,29,104,4,117,5,0,31.2,0.662,1.79,0.605,0.0,14.16,-11.0,109.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
43,4.9,71.7,0,1,0,-1,304,2,2,13.2,1.1,8,5,0,9,9,0,6.8,38,24,207,3,67,8,0,30.2,0.186,4.39,0.307,0.339,8.84,9.0,59.0,0,0,0,0,1,0,0,0,1,0,0,0,Low
30,1.9,59.1,0,1,0,0,641,0,2,18.9,0.5,12,6,22,11,10,1,12.7,11,22,86,2,143,13,0,24.0,0.172,5.28,1.181,0.0,27.03,-16.0,135.0,0,0,0,1,0,0,0,0,0,0,1,0,Medium
37,4.1,24.3,1,0,0,1,461,1,5,14.3,3.0,16,6,52,7,11,1,14.4,31,60,115,4,2,13,0,25.4,0.588,13.2,0.397,0.196,0.29,5.0,-6.0,1,0,0,0,0,0,0,1,0,0,0,0,High
39,4.1,10.9,0,1,0,0,344,0,1,21.7,4.1,12,8,26,10,7,1,10.4,0,60,174,3,2,7,1,23.6,0.804,2.08,4.34,0.0,0.43,-26.0,-6.0,0,1,0,0,0,0,0,1,0,0,0,0,High
43,5.0,19.6,0,2,0,-1,280,3,1,19.8,2.7,10,8,49,12,7,1,10.9,0,30,30,4,8,9,0,24.9,0.45,2.3,3.96,0.5,1.58,-26.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
39,19.0,8.9,0,1,0,1,477,2,3,21.7,5.4,8,8,0,9,9,0,6.0,58,16,113,6,2,21,0,30.0,0.27,9.27,0.344,0.1,0.43,32.0,-6.0,0,0,1,0,0,0,0,1,0,0,0,0,Low
34,3.1,57.3,4,0,1,-1,265,0,5,22.1,3.1,12,7,0,8,12,0,7.3,52,26,183,5,8,20,1,30.8,0.756,15.22,0.388,0.0,1.77,26.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,High
42,15.8,45.2,0,2,0,1,264,0,5,19.3,2.0,12,10,0,10,13,0,6.0,8,25,50,6,150,8,0,30.5,0.119,10.99,1.485,0.0,28.95,-21.0,142.0,0,1,0,0,0,0,0,0,1,0,0,0,Medium
37,18.2,61.6,0,0,1,2,641,2,3,18.9,1.0,10,7,0,7,9,0,7.5,39,34,63,3,2,10,0,31.8,0.052,7.19,0.43,0.104,0.38,10.0,-6.0,0,0,1,0,0,0,0,0,0,0,0,1,Low
29,11.0,4.6,1,0,3,0,359,1,1,14.7,3.2,14,7,0,10,13,0,6.0,32,40,130,0,4,9,0,27.0,0.267,2.3,0.397,0.083,0.59,6.0,-4.0,0,0,0,0,1,0,0,1,0,0,0,0,High
41,18.7,100.0,0,0,0,-1,409,1,5,7.7,2.6,12,8,0,11,9,0,6.2,46,25,235,5,8,6,0,18.8,0.132,9.73,0.151,0.051,0.62,17.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,Medium
31,2.0,13.0,1,1,2,0,393,0,4,10.2,2.0,14,7,0,9,7,0,8.5,0,29,121,5,2,14,0,24.7,0.667,10.83,2.04,0.0,0.2,-27.0,-6.0,0,0,0,0,0,1,1,0,0,0,0,0,Medium
35,3.0,38.8,0,1,0,0,469,1,4,21.8,2.4,10,8,0,10,11,0,6.5,31,25,59,5,8,9,0,31.5,0.6,9.21,0.606,0.25,1.74,5.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,Low
33,4.2,31.2,1,1,1,-1,405,3,3,9.8,4.2,14,6,0,10,13,0,6.6,37,38,199,0,2,8,0,30.0,0.808,6.59,0.233,0.577,0.2,11.0,-6.0,0,0,0,1,0,0,0,1,0,0,0,0,High
26,4.9,9.3,0,1,0,2,685,0,2,31.8,4.9,12,10,55,8,7,1,8.9,3,55,140,3,2,6,0,31.0,0.831,3.89,3.975,0.0,0.64,-24.0,-6.0,0,0,0,1,0,0,1,0,0,0,0,0,High
30,10.2,36.2,1,1,0,2,403,2,4,23.2,3.7,12,10,0,5,7,0,6.0,0,42,320,3,119,7,0,23.0,0.33,8.32,4.64,0.179,27.61,-29.0,111.0,0,0,1,0,0,0,0,0,0,0,0,1,Medium
39,14.9,9.2,1,0,0,0,278,0,3,29.0,3.0,10,7,0,7,7,0,8.0,13,13,96,3,1,9,0,28.6,0.189,6.91,1.611,0.0,0.29,-13.0,-7.0,0,0,0,1,0,0,0,1,0,0,0,0,Low
40,21.4,26.7,4,1,0,1,340,1,3,22.8,2.7,10,8,0,13,12,0,6.0,31,22,192,3,2,9,0,23.5,0.121,6.91,0.633,0.045,0.46,5.0,-6.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
30,2.0,10.7,0,2,2,2,580,1,2,21.2,2.0,8,7,0,9,15,0,6.1,37,31,156,4,3,12,1,18.4,0.667,5.13,0.505,0.333,0.64,11.0,-5.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
39,19.6,11.0,2,0,0,0,102,1,3,12.1,8.9,12,6,62,11,10,1,12.9,0,22,160,4,137,12,0,23.3,0.432,7.69,2.42,0.049,16.58,-26.0,129.0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
42,5.2,13.0,0,4,2,0,535,1,2,13.7,5.0,10,6,0,10,10,0,6.4,61,21,47,5,2,15,0,30.9,0.806,5.55,0.208,0.161,0.27,34.0,-6.0,0,0,1,0,0,0,1,0,0,0,0,0,Low
38,7.3,4.5,2,0,0,0,91,0,1,23.4,6.9,8,8,0,12,8,0,6.0,13,18,102,5,1,7,0,18.8,0.831,2.08,1.3,0.0,0.23,-14.0,-7.0,1,0,0,0,0,0,1,0,0,0,0,0,Low
38,17.9,60.5,0,2,0,0,477,1,2,15.3,2.5,8,7,0,7,14,0,10.6,45,30,72,4,8,12,0,30.8,0.132,5.13,0.306,0.053,1.22,18.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,Medium
51,17.6,40.5,1,1,0,1,529,1,1,9.9,2.5,12,4,0,7,7,0,6.9,10,34,111,3,2,18,0,31.5,0.134,2.94,0.66,0.054,0.2,-16.0,-6.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
41,6.9,40.2,1,0,2,-1,145,1,2,19.5,6.1,12,7,0,9,9,0,6.1,10,36,180,4,2,6,0,29.8,0.772,3.89,1.3,0.127,0.39,-16.0,-6.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
34,2.9,64.4,0,0,1,0,596,2,3,12.4,2.9,14,8,0,11,11,0,9.0,16,18,102,5,23,9,0,23.8,0.744,6.91,0.59,0.513,2.85,-10.0,15.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
32,14.0,39.7,2,3,2,-2,679,0,2,16.6,1.4,8,10,33,13,6,1,14.6,0,32,197,6,90,12,0,28.0,0.093,5.13,3.32,0.0,14.94,-26.0,82.0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
25,6.9,57.3,4,2,0,1,42,2,5,16.8,5.3,10,6,0,9,10,0,6.0,11,34,68,2,1,6,0,21.5,0.671,9.73,1.05,0.253,0.17,-15.0,-7.0,0,0,0,0,1,0,0,1,0,0,0,0,Low
42,5.1,16.8,2,0,0,-1,226,2,1,15.8,3.5,10,8,40,13,12,1,12.1,24,60,98,0,4,16,0,29.7,0.574,2.83,0.545,0.328,0.63,-3.0,-4.0,0,1,0,0,0,0,1,0,0,0,0,0,High
30,1.0,40.7,2,0,2,0,465,3,3,8.7,1.0,8,8,0,7,12,0,6.1,29,23,36,6,0,3,0,25.6,0.5,4.16,0.256,1.5,0.0,2.0,-8.0,1,0,0,0,0,0,1,0,0,0,0,0,Low
33,9.8,100.0,2,0,0,0,198,2,4,18.6,3.3,10,4,0,14,10,0,6.0,18,44,134,3,40,6,0,30.6,0.306,7.78,0.809,0.185,7.44,-8.0,32.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
28,2.7,82.5,0,0,0,-1,607,2,3,17.4,2.7,10,7,0,8,11,0,7.0,12,24,92,8,41,7,1,24.8,0.73,6.24,1.024,0.541,7.13,-14.0,33.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
39,12.4,12.8,1,1,2,0,167,2,3,13.3,1.7,10,11,0,12,10,0,6.0,0,18,53,4,160,12,0,25.6,0.127,7.69,2.66,0.149,21.28,-29.0,152.0,0,0,1,0,0,0,0,0,0,0,0,1,Low
35,2.9,81.9,2,0,0,0,558,1,2,17.0,2.9,14,7,0,7,13,0,7.7,28,28,187,7,3,7,0,22.9,0.744,4.16,0.515,0.256,0.51,2.0,-5.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
39,4.0,74.5,1,1,0,-2,294,1,3,9.1,4.0,8,7,0,8,8,0,6.9,45,27,221,3,3,19,0,23.8,0.8,8.99,0.182,0.2,0.27,19.0,-5.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
42,5.0,80.5,1,2,0,-1,162,1,3,19.0,5.0,8,7,24,12,13,1,13.3,30,28,85,4,2,9,0,24.0,0.833,6.91,0.543,0.167,0.38,4.0,-6.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
37,11.3,88.3,4,0,1,0,284,3,5,25.8,1.9,12,7,0,7,9,0,8.4,7,18,174,6,8,17,0,22.8,0.154,14.45,2.15,0.244,2.06,-20.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,Medium
40,8.5,22.1,1,1,1,0,146,1,5,16.2,2.9,16,6,0,9,9,0,7.2,51,40,108,1,154,9,0,24.5,0.305,11.51,0.289,0.105,24.95,25.0,146.0,0,1,0,0,0,0,0,1,0,0,0,0,High
32,9.8,25.5,1,1,0,1,590,2,3,28.5,4.2,12,8,0,12,12,0,7.3,0,18,168,2,104,18,0,18.7,0.389,8.83,5.7,0.185,29.64,-27.0,96.0,0,1,0,0,0,0,0,0,0,1,0,0,Medium
27,8.9,80.5,1,0,2,0,533,1,4,12.9,5.6,8,9,0,9,6,0,7.6,64,22,162,5,2,9,0,23.9,0.566,9.21,0.187,0.101,0.26,38.0,-6.0,0,0,1,0,0,0,0,1,0,0,0,0,Low
31,1.9,81.0,2,0,0,0,61,2,5,10.8,1.9,8,8,0,9,9,0,7.8,37,29,167,4,2,10,0,22.7,0.655,11.99,0.257,0.69,0.22,8.0,-6.0,0,0,0,1,0,0,0,0,1,0,0,0,Low
37,12.1,13.4,0,0,0,0,663,0,3,21.8,4.6,8,4,0,8,8,0,7.9,52,17,69,6,33,6,0,30.4,0.351,5.84,0.382,0.0,7.19,26.0,25.0,0,1,0,0,0,0,0,1,0,0,0,0,Low
30,2.0,66.8,2,2,0,0,167,1,3,14.0,2.0,14,7,0,14,6,0,6.3,1,22,112,5,25,13,0,24.3,0.667,7.92,2.333,0.333,3.5,-25.0,17.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
39,11.5,100.0,1,1,1,0,554,4,2,15.9,5.6,8,8,0,5,12,0,7.2,29,26,154,3,2,7,0,25.5,0.448,4.16,0.468,0.32,0.32,3.0,-6.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
28,1.9,34.8,2,2,0,2,451,3,1,19.3,1.9,10,7,0,11,13,0,7.8,3,29,26,3,8,11,0,31.1,0.655,2.48,2.412,1.034,1.54,-23.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,Low
31,9.1,61.3,0,1,0,1,281,0,1,12.5,4.2,10,7,0,8,8,0,8.1,2,14,216,5,2,9,0,19.0,0.416,2.3,1.786,0.0,0.25,-24.0,-6.0,0,0,0,1,0,0,0,1,0,0,0,0,Low
33,13.1,100.0,2,0,0,-1,659,2,2,32.9,0.5,10,6,0,8,8,0,6.0,43,32,91,4,8,15,0,29.2,0.035,5.55,0.685,0.142,2.63,14.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,Medium
37,17.6,61.7,0,0,0,-1,384,2,4,21.7,2.9,12,8,0,12,4,0,6.0,0,13,110,6,1,7,0,31.6,0.156,8.32,4.34,0.108,0.22,-26.0,-7.0,0,0,0,0,1,0,0,1,0,0,0,0,Low
31,4.9,31.2,1,0,0,-1,80,1,4,25.5,0.6,8,5,0,11,7,0,8.7,52,19,365,4,8,14,0,18.4,0.102,10.83,0.447,0.169,2.04,23.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,Low
38,3.8,65.5,1,3,0,0,629,1,3,11.3,2.3,16,5,47,7,9,1,12.8,25,22,138,4,2,24,0,25.2,0.479,9.66,0.377,0.208,0.23,-1.0,-6.0,0,0,1,0,0,0,0,1,0,0,0,0,High
26,5.2,45.4,1,0,0,1,224,0,3,16.7,2.4,10,6,0,12,5,0,8.7,22,27,72,6,2,14,0,29.6,0.387,8.12,0.619,0.0,0.33,-5.0,-6.0,0,0,1,0,0,0,0,0,0,1,0,0,Low
39,3.9,8.8,2,0,0,-1,190,1,3,19.9,3.4,8,5,0,8,7,0,6.0,13,8,63,3,8,24,0,26.7,0.694,9.66,1.106,0.204,1.59,-13.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,Low
46,1.2,32.6,0,2,2,2,334,0,3,11.9,1.2,8,5,0,12,13,0,6.9,27,32,59,6,106,7,0,27.9,0.545,6.24,0.372,0.0,12.61,0.0,98.0,0,0,0,0,0,1,0,0,0,0,1,0,Low
30,2.0,22.8,0,0,2,0,313,0,2,6.8,2.0,12,7,0,12,11,0,6.0,11,25,58,4,8,8,0,25.3,0.667,4.39,0.425,0.0,0.54,-15.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,Low
50,7.2,52.7,2,0,0,0,538,1,3,30.1,5.4,14,7,28,8,7,1,10.7,0,22,133,6,3,7,0,24.9,0.659,6.24,6.02,0.122,0.9,-26.0,-5.0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
37,9.8,40.9,0,2,0,0,377,1,4,11.5,3.8,12,7,0,12,10,0,7.3,0,22,147,3,1,11,0,28.1,0.352,9.94,2.3,0.093,0.12,-26.0,-7.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
38,4.0,53.4,1,0,3,-2,75,3,4,21.7,4.0,8,8,0,12,6,0,7.7,51,10,35,7,0,15,0,21.6,0.8,11.09,0.388,0.6,0.0,25.0,-8.0,0,0,0,0,0,1,0,1,0,0,0,0,Low
34,2.9,38.1,1,0,0,1,501,1,3,21.8,2.9,8,7,0,11,9,0,6.0,0,38,273,2,0,7,0,29.9,0.744,6.24,4.36,0.256,0.0,-26.0,-8.0,0,0,0,0,0,1,0,1,0,0,0,0,Medium
39,3.8,30.9,1,1,1,-2,429,2,2,29.0,2.3,12,5,0,6,4,0,9.1,34,60,185,2,31,20,0,31.9,0.479,6.09,0.744,0.417,8.99,5.0,23.0,0,0,0,0,0,1,0,0,0,0,0,1,High
32,8.1,82.2,0,2,2,-2,455,0,5,16.0,4.9,8,6,22,8,8,1,7.0,57,52,104,0,3,6,0,25.1,0.538,9.73,0.258,0.0,0.48,31.0,-5.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
53,1.3,82.7,0,0,3,2,406,0,5,15.2,1.3,10,6,0,9,9,0,6.8,56,14,90,1,63,9,0,29.8,0.565,11.51,0.249,0.0,9.58,29.0,55.0,0,0,0,0,1,0,0,0,0,0,1,0,Low
36,9.9,42.2,0,0,0,0,546,2,3,8.7,3.3,10,9,0,7,7,0,7.2,29,28,63,2,3,3,0,28.0,0.303,4.16,0.256,0.183,0.26,3.0,-5.0,0,0,0,0,1,0,0,1,0,0,0,0,Low
31,13.0,89.7,1,0,0,-1,589,0,4,19.7,2.1,8,7,0,11,9,0,7.0,27,36,73,5,142,11,0,28.5,0.15,9.94,0.616,0.0,27.97,1.0,134.0,0,0,0,0,0,1,0,1,0,0,0,0,Medium
52,22.4,9.2,0,3,0,-1,677,2,5,10.9,5.6,12,7,0,8,11,0,8.7,24,29,126,3,3,8,0,24.7,0.239,10.99,0.376,0.085,0.33,-2.0,-5.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
34,3.0,80.1,0,0,0,0,589,2,5,12.4,1.7,14,6,0,11,11,0,6.3,0,30,83,4,147,11,0,22.6,0.425,12.42,2.48,0.5,18.23,-26.0,139.0,0,0,0,0,1,0,0,1,0,0,0,0,Medium
59,36.5,44.6,0,3,0,1,538,1,5,16.4,4.0,10,8,0,11,10,0,6.0,45,32,105,1,2,5,0,30.0,0.107,8.96,0.328,0.027,0.33,18.0,-6.0,0,0,0,1,0,0,1,0,0,0,0,0,Low
39,4.1,17.5,0,1,0,0,382,2,1,6.9,1.0,8,6,0,6,9,0,8.6,73,57,114,4,68,9,0,24.3,0.196,2.3,0.088,0.392,4.69,47.0,60.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
34,3.1,31.4,0,0,0,-1,336,1,3,18.0,3.1,12,8,37,13,10,1,12.3,28,43,41,4,2,3,0,21.8,0.756,4.16,0.545,0.244,0.36,2.0,-6.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
54,4.9,56.7,1,1,0,0,443,1,5,14.7,4.1,14,8,0,13,9,0,7.5,55,38,227,3,108,6,0,30.8,0.695,9.73,0.245,0.169,15.88,28.0,100.0,0,1,0,0,0,0,1,0,0,0,0,0,High
41,4.9,79.4,1,0,0,0,218,4,1,17.8,4.4,8,6,28,10,12,1,10.6,55,47,109,3,16,6,0,24.7,0.746,1.95,0.297,0.678,2.85,29.0,8.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
33,3.0,58.3,1,0,0,2,195,2,2,11.6,3.0,12,6,0,9,10,0,6.0,56,43,62,2,101,12,0,24.2,0.75,5.13,0.19,0.5,11.72,30.0,93.0,0,0,0,0,1,0,0,1,0,0,0,0,Medium
35,3.0,51.9,2,0,3,0,317,0,2,14.1,3.0,10,7,0,7,11,0,9.1,7,28,95,4,47,18,0,19.5,0.75,5.89,1.175,0.0,6.63,-19.0,39.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
30,10.3,4.6,2,3,0,0,419,1,2,20.6,3.8,8,5,0,8,6,0,9.7,25,21,155,4,48,4,0,25.2,0.336,3.22,0.687,0.088,9.89,-1.0,40.0,1,0,0,0,0,0,0,1,0,0,0,0,Low
34,7.8,100.0,0,2,0,-1,678,1,4,19.4,1.2,14,8,0,10,12,0,6.0,20,22,145,6,8,6,0,29.4,0.136,7.78,0.776,0.114,1.55,-6.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
23,1.0,40.5,0,3,2,-1,657,1,1,5.7,1.0,16,6,0,11,8,0,7.4,0,30,36,1,4,7,0,31.1,0.5,2.08,1.14,0.5,0.23,-26.0,-4.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
55,5.2,57.0,1,2,0,-1,290,0,4,15.0,4.2,14,6,0,8,13,0,6.9,30,17,242,1,2,12,0,24.9,0.677,10.26,0.429,0.0,0.3,4.0,-6.0,1,0,0,0,0,0,0,1,0,0,0,0,High
39,17.9,61.8,0,0,0,0,70,0,2,12.2,4.3,8,6,0,19,10,0,7.2,35,23,97,3,2,13,0,30.7,0.228,5.28,0.305,0.0,0.24,8.0,-6.0,0,0,1,0,0,0,1,0,0,0,0,0,Medium
28,9.1,79.3,1,3,0,0,540,2,2,13.6,1.3,16,6,0,12,15,0,7.4,17,24,334,4,2,9,0,25.2,0.129,4.61,0.618,0.198,0.27,-9.0,-6.0,0,1,0,0,0,0,0,1,0,0,0,0,High
54,16.3,51.3,2,1,0,-1,119,2,1,34.2,0.6,12,7,0,19,9,0,6.6,13,43,91,1,106,6,0,25.8,0.035,1.95,1.9,0.116,36.25,-13.0,98.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
42,5.1,23.5,1,3,1,0,626,0,2,20.0,5.1,12,6,49,14,8,1,11.2,53,15,143,5,87,9,0,22.2,0.836,4.61,0.345,0.0,17.4,24.0,79.0,0,0,1,0,0,0,0,0,0,0,0,1,Medium
38,18.4,63.8,0,0,0,1,669,0,2,16.4,4.3,8,6,38,8,9,1,8.4,0,26,29,3,1,12,0,32.6,0.222,5.13,3.28,0.0,0.16,-27.0,-7.0,0,1,0,0,0,0,0,0,0,1,0,0,Medium
32,13.1,100.0,2,0,0,0,661,0,4,7.8,13.1,12,6,0,12,11,0,7.2,31,16,64,1,3,11,0,30.4,0.929,9.94,0.217,0.0,0.23,5.0,-5.0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
35,3.1,5.1,1,0,0,0,198,2,5,19.7,2.3,10,6,0,5,6,0,9.0,8,26,83,9,135,5,0,28.1,0.561,8.96,1.515,0.488,26.6,-18.0,127.0,0,0,1,0,0,0,0,1,0,0,0,0,Low
56,19.8,4.7,0,0,0,0,554,3,1,20.6,4.5,12,5,0,11,13,0,8.3,34,25,110,3,154,4,0,33.4,0.216,1.61,0.528,0.144,31.72,8.0,146.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
29,11.0,41.9,2,1,0,0,428,0,3,15.5,4.0,8,5,21,15,10,1,15.3,3,35,127,4,115,9,0,18.5,0.333,6.91,1.938,0.0,17.82,-23.0,107.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
39,10.1,43.4,0,3,0,1,448,1,4,11.8,3.1,10,7,0,9,10,0,8.5,36,41,85,7,2,19,0,28.1,0.279,11.98,0.288,0.09,0.24,10.0,-6.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
38,5.1,64.0,2,3,0,1,613,1,5,20.9,5.1,10,8,0,9,11,0,6.0,35,46,81,8,2,13,0,24.8,0.836,13.2,0.522,0.164,0.42,8.0,-6.0,0,0,0,1,0,0,0,0,0,1,0,0,Medium
38,14.1,81.8,1,2,0,0,369,0,2,11.3,3.8,8,8,27,11,9,1,7.9,27,23,111,2,4,23,0,28.7,0.252,6.36,0.353,0.0,0.45,0.0,-4.0,0,0,0,0,1,0,1,0,0,0,0,0,Medium
38,3.9,30.9,4,0,0,-1,474,1,3,21.8,2.7,12,6,59,15,8,1,12.0,27,22,123,3,8,19,0,28.7,0.551,8.99,0.681,0.204,1.74,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,High
34,3.0,35.2,1,0,0,1,433,0,5,15.8,3.0,14,6,54,9,7,1,10.9,44,56,34,2,8,18,0,26.8,0.75,14.72,0.322,0.0,1.26,17.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,High
41,5.0,67.5,4,0,0,-1,575,0,5,21.3,4.0,12,7,35,9,11,1,11.6,54,16,99,4,1,9,0,22.1,0.667,11.51,0.361,0.0,0.21,28.0,-7.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
32,7.9,9.5,0,0,0,0,402,0,4,22.7,3.5,12,6,0,9,7,0,6.7,43,33,59,1,64,16,0,23.2,0.393,11.33,0.473,0.0,14.53,16.0,56.0,0,0,0,1,0,0,0,0,0,0,1,0,Medium
47,13.4,72.7,0,0,0,0,165,0,2,10.8,1.0,10,9,0,17,13,0,7.0,15,28,201,7,128,10,0,21.5,0.069,4.8,0.54,0.0,13.82,-11.0,120.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
36,9.8,41.0,0,3,0,1,311,0,1,17.0,7.8,14,6,0,5,8,0,7.5,28,27,146,3,8,10,0,28.9,0.722,2.4,0.515,0.0,1.36,1.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,Medium
39,17.5,62.5,0,0,1,0,658,2,3,12.8,4.5,10,9,22,7,6,1,7.8,50,32,61,1,4,9,0,31.0,0.243,6.91,0.233,0.108,0.51,24.0,-4.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
47,22.8,9.2,1,2,1,0,91,2,2,14.2,6.0,10,5,60,9,3,1,6.0,58,24,102,3,8,21,0,21.8,0.252,6.18,0.225,0.084,1.14,32.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
